"filename", "language", "HTML", "PHP", "CSS", "JavaScript", "comment", "blank", "total"
"c:\Users\callu\OneDrive\Documents\UoG\1st Year\CT4034 Web Development\Website\index.html", "HTML", 53, 0, 0, 0, 21, 8, 82
"c:\Users\callu\OneDrive\Documents\UoG\1st Year\CT4034 Web Development\Website\js\mybikes.js", "JavaScript", 0, 0, 0, 32, 3, 2, 37
"c:\Users\callu\OneDrive\Documents\UoG\1st Year\CT4034 Web Development\Website\js\policesignin.js", "JavaScript", 0, 0, 0, 16, 3, 2, 21
"c:\Users\callu\OneDrive\Documents\UoG\1st Year\CT4034 Web Development\Website\js\policesignup.js", "JavaScript", 0, 0, 0, 21, 4, 5, 30
"c:\Users\callu\OneDrive\Documents\UoG\1st Year\CT4034 Web Development\Website\js\profile.js", "JavaScript", 0, 0, 0, 0, 0, 1, 1
"c:\Users\callu\OneDrive\Documents\UoG\1st Year\CT4034 Web Development\Website\js\register.js", "JavaScript", 0, 0, 0, 25, 4, 4, 33
"c:\Users\callu\OneDrive\Documents\UoG\1st Year\CT4034 Web Development\Website\js\signin.js", "JavaScript", 0, 0, 0, 16, 3, 2, 21
"c:\Users\callu\OneDrive\Documents\UoG\1st Year\CT4034 Web Development\Website\js\signout.js", "JavaScript", 0, 0, 0, 11, 4, 2, 17
"c:\Users\callu\OneDrive\Documents\UoG\1st Year\CT4034 Web Development\Website\js\signup.js", "JavaScript", 0, 0, 0, 42, 4, 3, 49
"c:\Users\callu\OneDrive\Documents\UoG\1st Year\CT4034 Web Development\Website\php\getregisteredbikes.php", "PHP", 0, 27, 0, 0, 10, 10, 47
"c:\Users\callu\OneDrive\Documents\UoG\1st Year\CT4034 Web Development\Website\php\getstolenbikes.php", "PHP", 0, 43, 0, 0, 13, 10, 66
"c:\Users\callu\OneDrive\Documents\UoG\1st Year\CT4034 Web Development\Website\php\mybikes.php", "PHP", 0, 116, 0, 0, 18, 18, 152
"c:\Users\callu\OneDrive\Documents\UoG\1st Year\CT4034 Web Development\Website\php\policeprofile.php", "PHP", 0, 112, 0, 0, 9, 17, 138
"c:\Users\callu\OneDrive\Documents\UoG\1st Year\CT4034 Web Development\Website\php\policesignin.php", "PHP", 0, 34, 0, 0, 10, 7, 51
"c:\Users\callu\OneDrive\Documents\UoG\1st Year\CT4034 Web Development\Website\php\policesignup.php", "PHP", 0, 49, 0, 0, 9, 11, 69
"c:\Users\callu\OneDrive\Documents\UoG\1st Year\CT4034 Web Development\Website\php\profile.php", "PHP", 0, 100, 0, 0, 9, 15, 124
"c:\Users\callu\OneDrive\Documents\UoG\1st Year\CT4034 Web Development\Website\php\register.php", "PHP", 0, 51, 0, 0, 17, 16, 84
"c:\Users\callu\OneDrive\Documents\UoG\1st Year\CT4034 Web Development\Website\php\reported.php", "PHP", 0, 44, 0, 0, 15, 12, 71
"c:\Users\callu\OneDrive\Documents\UoG\1st Year\CT4034 Web Development\Website\php\signin.php", "PHP", 0, 37, 0, 0, 13, 10, 60
"c:\Users\callu\OneDrive\Documents\UoG\1st Year\CT4034 Web Development\Website\php\signout.php", "PHP", 0, 9, 0, 0, 5, 3, 17
"c:\Users\callu\OneDrive\Documents\UoG\1st Year\CT4034 Web Development\Website\php\signup.php", "PHP", 0, 37, 0, 0, 10, 10, 57
